"","c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"gradient68"," resid flow temp_diff lunar_phase",1,1,0,1,0,1,0,-1196.58,2509.8,55,46,TRUE,12.6
"gradient67"," resid flow temp_diff flow_diff",1,1,1,1,0,0,0,-1196.61,2509.86,55,54,TRUE,12.66
"gradient79"," resid temp_diff flow_diff lunar_phase",1,0,1,1,0,1,0,-1196.61,2509.87,55,50,TRUE,12.67
"gradient12"," resid chinook0_hatchery_perhour_inp",1,0,0,0,0,0,1,-1198.21,2510.81,54,47,TRUE,13.61
"gradient54"," photoperiod temp_diff lunar_phase",0,0,0,1,1,1,0,-1198.24,2510.88,54,49,TRUE,13.68
"gradient32"," resid flow chinook0_hatchery_perhour_inp",1,1,0,0,0,0,1,-1197.19,2511.01,55,45,TRUE,13.81
"gradient43"," flow photoperiod temp_diff",0,1,0,1,1,0,0,-1198.33,2511.05,54,57,TRUE,13.86
"gradient123"," resid flow temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,1,0,1,1,-1193.84,2511.08,58,50,TRUE,13.88
"gradient93"," photoperiod temp_diff flow_diff lunar_phase",0,0,1,1,1,1,0,-1197.61,2511.86,55,43,TRUE,14.66
"gradient83"," flow photoperiod temp_diff flow_diff",0,1,1,1,1,0,0,-1197.63,2511.9,55,55,TRUE,14.7
"gradient104"," resid flow temp_diff flow_diff lunar_phase",1,1,1,1,0,1,0,-1196.57,2512.03,56,55,TRUE,14.84
"gradient55"," photoperiod temp_diff chinook0_hatchery_perhour_inp",0,0,0,1,1,0,1,-1197.96,2512.55,55,49,TRUE,15.36
"gradient42"," resid lunar_phase chinook0_hatchery_perhour_inp",1,0,0,0,0,1,1,-1198.1,2512.84,55,45,TRUE,15.65
"gradient41"," resid flow_diff chinook0_hatchery_perhour_inp",1,0,1,0,0,0,1,-1198.14,2512.92,55,52,TRUE,15.72
"gradient84"," flow photoperiod temp_diff lunar_phase",0,1,0,1,1,1,0,-1198.24,2513.12,55,49,TRUE,15.92
"gradient72"," resid flow lunar_phase chinook0_hatchery_perhour_inp",1,1,0,0,0,1,1,-1197.14,2513.16,56,48,TRUE,15.96
"gradient71"," resid flow flow_diff chinook0_hatchery_perhour_inp",1,1,1,0,0,0,1,-1197.15,2513.18,56,59,TRUE,15.98
"gradient94"," photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",0,0,1,1,1,0,1,-1197.19,2513.27,56,52,TRUE,16.07
"gradient113"," flow photoperiod temp_diff flow_diff lunar_phase",0,1,1,1,1,1,0,-1197.61,2514.1,56,59,TRUE,16.9
"gradient95"," photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,0,1,1,1,1,-1197.85,2514.59,56,52,TRUE,17.39
"gradient85"," flow photoperiod temp_diff chinook0_hatchery_perhour_inp",0,1,0,1,1,0,1,-1197.95,2514.79,56,47,TRUE,17.59
"gradient82"," resid flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,1,0,0,1,1,-1198.06,2515.01,56,46,TRUE,17.81
"gradient107"," resid flow flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,0,0,1,1,-1197.11,2515.36,57,53,TRUE,18.16
"gradient118"," photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,1,1,1,1,-1197.16,2515.46,57,46,TRUE,18.27
"gradient114"," flow photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",0,1,1,1,1,0,1,-1197.19,2515.51,57,51,TRUE,18.31
"gradient115"," flow photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,0,1,1,1,1,-1197.85,2516.83,57,50,TRUE,19.63
"gradient125"," flow photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,1,1,1,1,-1197.16,2517.71,58,61,TRUE,20.52
"gradient24"," temp_diff chinook0_hatchery_perhour_inp",0,0,0,1,0,0,1,-1202.07,2518.53,54,45,TRUE,21.34
"gradient"," resid",1,0,0,0,0,0,0,-1204.41,2518.74,52,31,TRUE,21.54
