"","c","atu","flow","lunar_phase","temperature_difference","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function61"," flow_2 lunar_phase_2 temp_diff_2 flow_diff_2 coho1_hatchery_perhour_inp_2",0,1,1,1,1,1,-884.683824352983,1833.28270662102,31,73,TRUE,59.17,0,0,1
"function54"," flow_2 temp_diff_2 flow_diff_2 coho1_hatchery_perhour_inp_2",0,1,0,1,1,1,-885.757262267766,1833.30816002251,30,78,TRUE,59.19,0,0,1
"function1"," flow_2",0,1,0,0,0,0,-903.823200713068,1863.10024757998,27,44,TRUE,88.98,0,0,1
"function13"," flow_2 flow_diff_2",0,1,0,0,1,0,-903.470744273365,1864.50452993268,28,50,TRUE,90.39,0,0,1
"function11"," flow_2 lunar_phase_2",0,1,1,0,0,0,-903.623564247206,1864.81016988036,28,52,TRUE,90.69,0,0,1
"function12"," flow_2 temp_diff_2",0,1,0,1,0,0,-903.624654015654,1864.81234941726,28,57,TRUE,90.7,0,0,1
"function4"," flow_diff_2",0,0,0,0,1,0,-904.758888236864,1864.97162262757,27,51,TRUE,90.86,0,0,1
"function3"," temp_diff_2",0,0,0,1,0,0,-905.189916506401,1865.83367916665,27,43,TRUE,91.72,0,0,1
"function2"," lunar_phase_2",0,0,1,0,0,0,-905.256981944474,1865.9678100428,27,42,TRUE,91.85,0,0,1
"function32"," flow_2 lunar_phase_2 flow_diff_2",0,1,1,0,1,0,-903.264970392303,1866.20624136264,29,68,TRUE,92.09,0,0,1
"function34"," flow_2 temp_diff_2 flow_diff_2",0,1,0,1,1,0,-903.269192293492,1866.21468516502,29,66,TRUE,92.1,0,0,1
"function31"," flow_2 lunar_phase_2 temp_diff_2",0,1,1,1,0,0,-903.456941478933,1866.5901835359,29,58,TRUE,92.47,0,0,1
"function18"," temp_diff_2 flow_diff_2",0,0,0,1,1,0,-904.514305597008,1866.59165257996,28,57,TRUE,92.48,0,0,1
"function16"," lunar_phase_2 flow_diff_2",0,0,1,0,1,0,-904.566638315771,1866.69631801749,28,59,TRUE,92.58,0,0,1
"function15"," lunar_phase_2 temp_diff_2",0,0,1,1,0,0,-905.041228544834,1867.64549847562,28,54,TRUE,93.53,0,0,1
"function51"," flow_2 lunar_phase_2 temp_diff_2 flow_diff_2",0,1,1,1,1,0,-903.095970433551,1867.98557635408,30,65,TRUE,93.87,0,0,1
"function37"," lunar_phase_2 temp_diff_2 flow_diff_2",0,0,1,1,1,0,-904.356228851423,1868.38875828088,29,59,TRUE,94.27,0,0,1
