"","c","residuals","photoperiod","flow","lunar_phase","temperature_difference","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function112"," resid_2 lunar_phase_2 temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,0,0,1,1,1,1,-893.20950184851,1851.17073740021,31,95,TRUE,7.27,0.03,0,0.96
"function109"," resid_2 flow_2 lunar_phase_2 temp_diff_2 chinook0_hatchery_perhour_inp_2",1,0,1,1,1,0,1,-893.273859247885,1851.29945219896,31,97,TRUE,7.4,0.02,0,0.97
"function111"," resid_2 flow_2 temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,0,1,0,1,1,1,-893.289456948829,1851.33064760085,31,94,TRUE,7.43,0.02,0,0.97
"function125"," photoperiod_2 flow_2 lunar_phase_2 temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,1,1,1,1,1,1,-892.515513800967,1851.96436093527,32,92,TRUE,8.06,0.02,0,0.97
"function108"," resid_2 flow_2 lunar_phase_2 temp_diff_2 flow_diff_2",1,0,1,1,1,1,0,-893.637304064785,1852.02634183276,31,98,TRUE,8.12,0.02,0,0.97
"function19"," flow_2 temp_diff_2",0,0,1,0,1,0,0,-896.951155677098,1852.14540527685,28,71,TRUE,8.24,0.02,0,0.97
"function113"," photoperiod_2 flow_2 lunar_phase_2 temp_diff_2 flow_diff_2",0,1,1,1,1,1,0,-893.708880444852,1852.16949459289,31,86,TRUE,8.27,0.02,0,0.97
"function57"," flow_2 temp_diff_2 chinook0_hatchery_perhour_inp_2",0,0,1,0,1,0,1,-895.936951792498,1852.28054258914,29,66,TRUE,8.38,0.02,0,0.98
"function25"," temp_diff_2 flow_diff_2",0,0,0,0,1,1,0,-897.078639396377,1852.40037271541,28,74,TRUE,8.5,0.01,0,0.98
"function38"," resid_2 lunar_phase_2 flow_diff_2",1,0,0,1,1,1,0,-896.04578501067,1852.49820902549,29,86,TRUE,8.59,0.01,0,0.98
"function22"," lunar_phase_2 temp_diff_2",0,0,0,1,1,0,0,-897.192521921919,1852.62813776649,28,74,TRUE,8.72,0.01,0,0.98
"function33"," resid_2 flow_2 lunar_phase_2",1,0,1,1,1,0,0,-896.116238857282,1852.63911671871,29,78,TRUE,8.73,0.01,0,0.98
"function39"," resid_2 lunar_phase_2 chinook0_hatchery_perhour_inp_2",1,0,0,1,1,0,1,-896.129519288012,1852.66567758017,29,81,TRUE,8.76,0.01,0,0.98
"function121"," resid_2 photoperiod_2 flow_2 lunar_phase_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,1,1,1,1,1,1,-892.881743110838,1852.69681955501,32,139,TRUE,8.79,0.01,0,0.98
"function62"," temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,0,0,0,1,1,1,-896.217460149325,1852.8415593028,29,74,TRUE,8.94,0.01,0,0.99
"function35"," resid_2 flow_2 flow_diff_2",1,0,1,0,1,1,0,-896.221470363783,1852.84957973172,29,68,TRUE,8.95,0.01,0,0.99
"function42"," resid_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,0,0,0,1,1,1,-896.243999112917,1852.89463722998,29,67,TRUE,8.99,0.01,0,0.99
"function60"," lunar_phase_2 temp_diff_2 chinook0_hatchery_perhour_inp_2",0,0,0,1,1,0,1,-896.283943409891,1852.97452582393,29,77,TRUE,9.07,0.01,0,0.99
"function36"," resid_2 flow_2 chinook0_hatchery_perhour_inp_2",1,0,1,0,1,0,1,-896.33588600776,1853.07841101967,29,69,TRUE,9.17,0.01,0,0.99
"function124"," resid_2 flow_2 lunar_phase_2 temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,0,1,1,1,1,1,-893.111177394211,1853.15568812176,32,84,TRUE,9.25,0.01,0,0.99
"function1"," photoperiod_2",0,1,0,0,1,0,0,-898.650901380929,1853.38732000324,27,56,TRUE,9.48,0.01,0,0.99
"function56"," flow_2 temp_diff_2 flow_diff_2",0,0,1,0,1,1,0,-896.602687452179,1853.61201390851,29,76,TRUE,9.71,0.01,0,0.99
"function53"," flow_2 lunar_phase_2 temp_diff_2",0,0,1,1,1,0,0,-896.761371177093,1853.92938135833,29,69,TRUE,10.03,0.01,0,0.99
"function96"," flow_2 temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,0,1,0,1,1,1,-895.689911272489,1853.9559998303,30,83,TRUE,10.05,0.01,0,0.99
"function94"," flow_2 lunar_phase_2 temp_diff_2 chinook0_hatchery_perhour_inp_2",0,0,1,1,1,0,1,-895.794398698509,1854.16497468234,30,87,TRUE,10.26,0.01,0,0.99
"function59"," lunar_phase_2 temp_diff_2 flow_diff_2",0,0,0,1,1,1,0,-896.992570026904,1854.39177905796,29,72,TRUE,10.49,0.01,0,0.99
"function74"," resid_2 flow_2 lunar_phase_2 flow_diff_2",1,0,1,1,1,1,0,-896.005780846744,1854.58773897881,30,84,TRUE,10.68,0,0,0.99
"function81"," resid_2 lunar_phase_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,0,0,1,1,1,1,-896.020998442682,1854.61817417068,30,83,TRUE,10.71,0,0,1
"function75"," resid_2 flow_2 lunar_phase_2 chinook0_hatchery_perhour_inp_2",1,0,1,1,1,0,1,-896.074873773055,1854.72592483143,30,91,TRUE,10.82,0,0,1
"function97"," lunar_phase_2 temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,0,0,1,1,1,1,-896.154475656668,1854.88512859865,30,116,TRUE,10.98,0,0,1
"function78"," resid_2 flow_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,0,1,0,1,1,1,-896.189989629904,1854.95615654513,30,83,TRUE,11.05,0,0,1
"function16"," photoperiod_2 flow_diff_2",0,1,0,0,1,1,0,-898.373197231817,1854.98948838629,28,64,TRUE,11.09,0,0,1
"function17"," photoperiod_2 chinook0_hatchery_perhour_inp_2",0,1,0,0,1,0,1,-898.404995473177,1855.05308486901,28,73,TRUE,11.15,0,0,1
"function14"," photoperiod_2 lunar_phase_2",0,1,0,1,1,0,0,-898.550735360773,1855.3445646442,28,76,TRUE,11.44,0,0,1
"function93"," flow_2 lunar_phase_2 temp_diff_2 flow_diff_2",0,0,1,1,1,1,0,-896.48104141648,1855.53826011828,30,88,TRUE,11.63,0,0,1
"function13"," photoperiod_2 flow_2",0,1,1,0,1,0,0,-898.650804313132,1855.54470254892,28,75,TRUE,11.64,0,0,1
"function118"," flow_2 lunar_phase_2 temp_diff_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,0,1,1,1,1,1,-895.595414828433,1855.94256336006,31,107,TRUE,12.04,0,0,1
"function110"," resid_2 flow_2 lunar_phase_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",1,0,1,1,1,1,1,-895.98021214813,1856.71215799945,31,98,TRUE,12.81,0,0,1
"function52"," photoperiod_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,1,0,0,1,1,1,-898.19067261009,1856.78798422433,29,73,TRUE,12.88,0,0,1
"function48"," photoperiod_2 lunar_phase_2 flow_diff_2",0,1,0,1,1,1,0,-898.320272016062,1857.04718303627,29,73,TRUE,13.14,0,0,1
"function49"," photoperiod_2 lunar_phase_2 chinook0_hatchery_perhour_inp_2",0,1,0,1,1,0,1,-898.323261164659,1857.05316133347,29,70,TRUE,13.15,0,0,1
"function45"," photoperiod_2 flow_2 flow_diff_2",0,1,1,0,1,1,0,-898.370469799187,1857.14757860252,29,76,TRUE,13.24,0,0,1
"function46"," photoperiod_2 flow_2 chinook0_hatchery_perhour_inp_2",0,1,1,0,1,0,1,-898.404854953191,1857.21634891053,29,75,TRUE,13.31,0,0,1
"function43"," photoperiod_2 flow_2 lunar_phase_2",0,1,1,1,1,0,0,-898.55012285062,1857.50688470539,29,74,TRUE,13.6,0,0,1
"function91"," photoperiod_2 lunar_phase_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,1,0,1,1,1,1,-898.145107110693,1858.86639150671,30,78,TRUE,14.96,0,0,1
"function88"," photoperiod_2 flow_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,1,1,0,1,1,1,-898.189017487815,1858.95421226095,30,81,TRUE,15.05,0,0,1
"function84"," photoperiod_2 flow_2 lunar_phase_2 flow_diff_2",0,1,1,1,1,1,0,-898.315294455771,1859.20676619686,30,90,TRUE,15.3,0,0,1
"function85"," photoperiod_2 flow_2 lunar_phase_2 chinook0_hatchery_perhour_inp_2",0,1,1,1,1,0,1,-898.32301041226,1859.22219810984,30,80,TRUE,15.32,0,0,1
"function5"," flow_diff_2",0,0,0,0,1,1,0,-902.273049783502,1860.63161680838,27,68,TRUE,16.73,0,0,1
"function3"," lunar_phase_2",0,0,0,1,1,0,0,-902.27620587567,1860.63792899272,27,61,TRUE,16.73,0,0,1
"function6"," chinook0_hatchery_perhour_inp_2",0,0,0,0,1,0,1,-902.306343130233,1860.69820350185,27,55,TRUE,16.79,0,0,1
"function2"," flow_2",0,0,1,0,1,0,0,-902.369356254204,1860.82422974979,27,68,TRUE,16.92,0,0,1
"function115"," photoperiod_2 flow_2 lunar_phase_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,1,1,1,1,1,1,-898.141757309264,1861.03524832172,31,86,TRUE,17.13,0,0,1
"function23"," lunar_phase_2 flow_diff_2",0,0,0,1,1,1,0,-902.190242638359,1862.62357919937,28,71,TRUE,18.72,0,0,1
"function24"," lunar_phase_2 chinook0_hatchery_perhour_inp_2",0,0,0,1,1,0,1,-902.201765865191,1862.64662565303,28,68,TRUE,18.74,0,0,1
"function27"," flow_diff_2 chinook0_hatchery_perhour_inp_2",0,0,0,0,1,1,1,-902.21173270327,1862.66655932919,28,62,TRUE,18.76,0,0,1
"function20"," flow_2 flow_diff_2",0,0,1,0,1,1,0,-902.235180553351,1862.71345502935,28,68,TRUE,18.81,0,0,1
"function18"," flow_2 lunar_phase_2",0,0,1,1,1,0,0,-902.241704038301,1862.72650199925,28,78,TRUE,18.82,0,0,1
"function21"," flow_2 chinook0_hatchery_perhour_inp_2",0,0,1,0,1,0,1,-902.283320014107,1862.80973395087,28,65,TRUE,18.91,0,0,1
"function61"," lunar_phase_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,0,0,1,1,1,1,-902.13442956007,1864.67549812429,29,72,TRUE,20.77,0,0,1
"function54"," flow_2 lunar_phase_2 flow_diff_2",0,0,1,1,1,1,0,-902.143095478626,1864.6928299614,29,84,TRUE,20.79,0,0,1
"function55"," flow_2 lunar_phase_2 chinook0_hatchery_perhour_inp_2",0,0,1,1,1,0,1,-902.16835562037,1864.74335024489,29,78,TRUE,20.84,0,0,1
"function58"," flow_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,0,1,0,1,1,1,-902.17578581577,1864.75821063569,29,67,TRUE,20.85,0,0,1
"function95"," flow_2 lunar_phase_2 flow_diff_2 chinook0_hatchery_perhour_inp_2",0,0,1,1,1,1,1,-902.089667194649,1866.75551167462,30,73,TRUE,22.85,0,0,1
