"c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" photoperiod temp_diff flow_diff lunar_phase",0,0,1,1,1,1,0,-471.630436277038,981.109521202725,18,32,TRUE,6.03677793898146,0.05,0,0.9
" resid flow temp_diff flow_diff lunar_phase",1,1,1,1,0,1,0,-470.64587212843,981.351364853067,19,34,TRUE,6.27862158932317,0.04,0,0.91
" temp_diff flow_diff lunar_phase",0,0,1,1,0,1,0,-473.092875535036,981.835346757403,17,30,TRUE,6.76260349365987,0.03,0,0.91
" photoperiod flow_diff",0,0,1,0,1,0,0,-474.208856306249,981.880078203896,16,32,TRUE,6.80733494015271,0.03,0,0.91
" resid flow flow_diff lunar_phase",1,1,1,0,0,1,0,-472.04907159277,981.946791834189,18,32,TRUE,6.8740485704451,0.03,0,0.92
" photoperiod lunar_phase",0,0,0,0,1,1,0,-474.375449009472,982.213263610342,16,28,TRUE,7.14052034659869,0.03,0,0.92
" flow photoperiod",0,1,0,0,1,0,0,-474.382502461013,982.227370513423,16,31,TRUE,7.15462724968006,0.03,0,0.92
" flow photoperiod temp_diff flow_diff lunar_phase",0,1,1,1,1,1,0,-471.148971296527,982.357563189259,19,32,TRUE,7.28481992551576,0.03,0,0.92
" flow temp_diff flow_diff lunar_phase",0,1,1,1,0,1,0,-472.437765367986,982.72417938462,18,32,TRUE,7.65143612087638,0.02,0,0.92
" flow",0,1,0,0,0,0,0,-476.234946133415,983.756755537607,15,29,TRUE,8.68401227386323,0.01,0,0.93
" flow_diff",0,0,1,0,0,0,0,-476.255142695415,983.797148661607,15,27,TRUE,8.72440539786385,0.01,0,0.93
" lunar_phase",0,0,0,0,0,1,0,-476.277991753326,983.84284677743,15,30,TRUE,8.77010351368642,0.01,0,0.93
" flow photoperiod flow_diff",0,1,1,0,1,0,0,-474.111311123166,983.872217933664,17,33,TRUE,8.79947466992019,0.01,0,0.93
" chinook0_hatchery_perhour_inp",0,0,0,0,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.93
" resid chinook0_hatchery_perhour_inp",1,0,0,0,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.93
" flow chinook0_hatchery_perhour_inp",0,1,0,0,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.93
" photoperiod chinook0_hatchery_perhour_inp",0,0,0,0,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.93
" temp_diff chinook0_hatchery_perhour_inp",0,0,0,1,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.93
" flow_diff chinook0_hatchery_perhour_inp",0,0,1,0,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.94
" lunar_phase chinook0_hatchery_perhour_inp",0,0,0,0,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.94
" resid flow chinook0_hatchery_perhour_inp",1,1,0,0,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.94
" resid photoperiod chinook0_hatchery_perhour_inp",1,0,0,0,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.94
" resid temp_diff chinook0_hatchery_perhour_inp",1,0,0,1,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.94
" resid flow_diff chinook0_hatchery_perhour_inp",1,0,1,0,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.94
" resid lunar_phase chinook0_hatchery_perhour_inp",1,0,0,0,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.94
" flow photoperiod chinook0_hatchery_perhour_inp",0,1,0,0,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.94
" flow temp_diff chinook0_hatchery_perhour_inp",0,1,0,1,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.94
" flow flow_diff chinook0_hatchery_perhour_inp",0,1,1,0,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.94
" flow lunar_phase chinook0_hatchery_perhour_inp",0,1,0,0,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.95
" photoperiod temp_diff chinook0_hatchery_perhour_inp",0,0,0,1,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.95
" photoperiod flow_diff chinook0_hatchery_perhour_inp",0,0,1,0,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.95
" photoperiod lunar_phase chinook0_hatchery_perhour_inp",0,0,0,0,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.95
" temp_diff flow_diff chinook0_hatchery_perhour_inp",0,0,1,1,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.95
" temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,0,1,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.95
" flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,0,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.95
" resid flow photoperiod chinook0_hatchery_perhour_inp",1,1,0,0,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.95
" resid flow temp_diff chinook0_hatchery_perhour_inp",1,1,0,1,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.95
" resid flow flow_diff chinook0_hatchery_perhour_inp",1,1,1,0,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.96
" resid flow lunar_phase chinook0_hatchery_perhour_inp",1,1,0,0,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.96
" resid photoperiod temp_diff chinook0_hatchery_perhour_inp",1,0,0,1,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.96
" resid photoperiod flow_diff chinook0_hatchery_perhour_inp",1,0,1,0,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.96
" resid photoperiod lunar_phase chinook0_hatchery_perhour_inp",1,0,0,0,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.96
" resid temp_diff flow_diff chinook0_hatchery_perhour_inp",1,0,1,1,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.96
" resid temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,0,1,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.96
" resid flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,1,0,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.96
" flow photoperiod temp_diff chinook0_hatchery_perhour_inp",0,1,0,1,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.96
" flow photoperiod flow_diff chinook0_hatchery_perhour_inp",0,1,1,0,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.96
" flow photoperiod lunar_phase chinook0_hatchery_perhour_inp",0,1,0,0,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.97
" flow temp_diff flow_diff chinook0_hatchery_perhour_inp",0,1,1,1,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.97
" flow temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,0,1,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.97
" flow flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,0,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.97
" photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",0,0,1,1,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.97
" photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,0,1,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.97
" photoperiod flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,0,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.97
" temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,1,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.97
" resid flow photoperiod temp_diff chinook0_hatchery_perhour_inp",1,1,0,1,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.97
" resid flow photoperiod flow_diff chinook0_hatchery_perhour_inp",1,1,1,0,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.98
" resid flow photoperiod lunar_phase chinook0_hatchery_perhour_inp",1,1,0,0,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.98
" resid flow temp_diff flow_diff chinook0_hatchery_perhour_inp",1,1,1,1,0,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.98
" resid flow temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,0,1,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.98
" resid flow flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,0,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.98
" resid photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",1,0,1,1,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.98
" resid photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,0,1,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.98
" resid photoperiod flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,1,0,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.98
