"","term","estimate","std.error","conf.low","conf.up"
"1","R.diag",0.68082370394774,0.0339786129142562,0.61422684639117,0.747420561504309
"2","Q.diag",0.0253764791415151,0.00503194045624484,0.0155140570749252,0.035238901208105
"3","x0.X.2005_Day",-0.0424421775454699,0.411712920875802,-0.849384674431831,0.764500319340891
"4","x0.X.2006_Day",-0.687862143101066,0.388830284155801,-1.44995549614491,0.0742312099427792
"5","x0.X.2007_Day",-0.910172990454922,0.387241452418257,-1.66915229051569,-0.151193690394157
"6","x0.X.2008_Day",-0.457071826956581,0.386403480007207,-1.21440873127165,0.300265077358487
"7","x0.X.2009_Day",-0.74093497830191,0.422553787192564,-1.56912518273034,0.0872552261265169
"8","x0.X.2010_Day",-1.05105261120468,0.474283541813902,-1.98063127162002,-0.121473950789336
"9","x0.X.2011_Day",-0.762156979526391,0.388369054399904,-1.52334633886008,-0.000967620192702467
"10","x0.X.2012_Day",-0.489580867135032,0.386388497784549,-1.24688840683328,0.267726672563219
"11","x0.X.2013_Day",-0.385603887826925,0.389229918469335,-1.14848050973228,0.377272734078433
"12","x0.X.2014_Day",-0.741315635025897,0.390538725564495,-1.50675747170048,0.0241262016486852
"13","x0.X.2016_Day",-0.58349796399038,0.766508529676052,-2.08582707599819,0.918831148017433
"14","x0.X.2017_Day",-0.959704884625245,0.396995597981761,-1.73780195869044,-0.181607810560051
"15","x0.X.2018_Day",-0.275768219452214,0.424302284697972,-1.1073854160183,0.55584897711387
"16","x0.X.2019_Day",-1.06385302291195,0.421436204668175,-1.88985280584283,-0.23785323998108
"17","x0.X.2020_Day",-0.693501946240293,0.386909241092732,-1.45183012406777,0.0648262315871858
"18","x0.X.2005_Night",0.0285811715136008,0.418608618582246,-0.791876644525665,0.849038987552866
"19","x0.X.2006_Night",0.245165408412482,0.389123265666777,-0.517502177841012,1.00783299466598
"20","x0.X.2007_Night",-1.26924464115643,0.386585691534014,-2.02693867350161,-0.511550608811256
"21","x0.X.2008_Night",-1.0423792272059,0.386222227797364,-1.79936088371755,-0.285397570694238
"22","x0.X.2009_Night",-0.567902560401024,0.388021095345738,-1.32840993252045,0.192604811718405
"23","x0.X.2010_Night",-1.1610268278823,0.398847841580531,-1.94275423269168,-0.379299423072927
"24","x0.X.2011_Night",-1.3930597678756,0.387689303133087,-2.15291683920789,-0.633202696543322
"25","x0.X.2012_Night",-0.607806584359092,0.386967233655063,-1.36624842552011,0.150635256801927
"26","x0.X.2013_Night",-0.749160545843152,0.393068058981691,-1.51955978492033,0.0212386932340284
"27","x0.X.2014_Night",-1.03296332283856,0.389632862696225,-1.7966297009164,-0.269296944760717
"28","x0.X.2016_Night",-0.422843150195562,0.402826769598443,-1.21236911061713,0.366682810226001
"29","x0.X.2017_Night",-0.641892560977971,0.395345642141599,-1.41675578102037,0.132970659064424
"30","x0.X.2018_Night",-1.21539398360526,0.387782707114172,-1.97543412337648,-0.455353843834037
"31","x0.X.2019_Night",-1.41530927907257,0.390531812176299,-2.18073756575527,-0.649880992389863
"32","x0.X.2020_Night",-0.662665021445657,0.386917892748328,-1.42101015620651,0.0956801133151965
"33","C.a",-0.0435379492694215,0.00873698114321941,-0.0606621176437372,-0.0264137808951059
"34","C.b",-0.0411775287623685,0.0270982088510971,-0.0942890421560633,0.0119339846313264
"35","C.c",-0.0334113474573196,0.0113713022188962,-0.0556986902636765,-0.0111240046509626
"36","C.d",0.0804034100296242,0.020586966214939,0.0400536976974009,0.120753122361848
"37","C.day",0.0179255075932812,0.0143821886846474,-0.0102630642474873,0.0461140794340497
"38","C.night",-0.0136173154800226,0.0114085743875847,-0.0359777103946347,0.00874307943458946
