"c","photoperiod","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","delta_aicc","deltaAICc","rel.LL","weights","cumulative_weights"
" flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,0,1,1,1,1,-1341.82342777676,2760.55181423121,37,115,TRUE,23.5,23.5,0,0,1
" flow_diff coho1_hatchery_perhour_interpolate",0,0,0,1,0,1,-1352.15623852308,2776.91041519049,35,87,TRUE,39.86,39.86,0,0,1
" flow_diff",0,0,0,1,0,0,-1355.03764080596,2778.38392358723,33,76,TRUE,41.33,41.33,0,0,1
" temp_diff flow",0,1,1,0,0,0,-1354.01970098842,2778.49048333626,34,81,TRUE,41.44,41.44,0,0,1
" flow",0,0,1,0,0,0,-1355.24726177833,2778.80316553197,33,87,TRUE,41.75,41.75,0,0,1
" temp_diff flow_diff coho1_hatchery_perhour_interpolate",0,1,0,1,0,1,-1352.06716287411,2778.88355175441,36,89,TRUE,41.83,41.83,0,0,1
" lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,0,0,1,1,1,-1352.15261241062,2779.05445082744,36,100,TRUE,42,42,0,0,1
" temp_diff flow coho1_hatchery_perhour_interpolate",0,1,1,0,0,1,-1352.41558523468,2779.58039647555,36,95,TRUE,42.53,42.53,0,0,1
" flow coho1_hatchery_perhour_interpolate",0,0,1,0,0,1,-1353.50259577347,2779.60312969126,35,90,TRUE,42.55,42.55,0,0,1
" temp_diff flow_diff",0,1,0,1,0,0,-1354.86727204386,2780.18562544715,34,81,TRUE,43.13,43.13,0,0,1
" temp_diff flow lunar_phase",0,1,1,0,1,0,-1353.89302106854,2780.3839802814,35,87,TRUE,43.33,43.33,0,0,1
" lunar_phase flow_diff",0,0,0,1,1,0,-1355.02984471196,2780.51077078334,34,85,TRUE,43.46,43.46,0,0,1
" flow lunar_phase",0,0,1,0,1,0,-1355.13723093317,2780.72554322576,34,82,TRUE,43.67,43.67,0,0,1
" temp_diff lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,1,0,1,1,1,-1352.06358512128,2781.03212892024,37,102,TRUE,43.98,43.98,0,0,1
" temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",0,1,1,0,1,1,-1352.28636035959,2781.47767939687,37,103,TRUE,44.43,44.43,0,0,1
" flow lunar_phase coho1_hatchery_perhour_interpolate",0,0,1,0,1,1,-1353.3876245584,2781.524475123,36,104,TRUE,44.47,44.47,0,0,1
" temp_diff lunar_phase flow_diff",0,1,0,1,1,0,-1354.85961698199,2782.31717210831,35,92,TRUE,45.27,45.27,0,0,1
" coho1_hatchery_perhour_interpolate",0,0,0,0,0,1,-1360.83477782513,2792.12063700969,34,92,TRUE,55.07,55.07,0,0,1
"none",0,0,0,0,0,0,-1363.3940034119,2792.95861319585,32,68,TRUE,55.91,55.91,0,0,1
" temp_diff coho1_hatchery_perhour_interpolate",0,1,0,0,0,1,-1360.79455433334,2794.18704681102,35,80,TRUE,57.14,57.14,0,0,1
" lunar_phase coho1_hatchery_perhour_interpolate",0,0,0,0,1,1,-1360.80742582507,2794.21278979446,35,77,TRUE,57.16,57.16,0,0,1
" temp_diff",0,1,0,0,0,0,-1363.29103284259,2794.8907076605,33,87,TRUE,57.84,57.84,0,0,1
" lunar_phase",0,0,0,0,1,0,-1363.37579154677,2795.06022506885,33,72,TRUE,58.01,58.01,0,0,1
" temp_diff lunar_phase coho1_hatchery_perhour_interpolate",0,1,0,0,1,1,-1360.76711878638,2796.28346357894,36,96,TRUE,59.23,59.23,0,0,1
" temp_diff lunar_phase",0,1,0,0,1,0,-1363.27249393984,2796.9960692391,34,91,TRUE,59.95,59.95,0,0,1
