"c","photoperiod","photoperiod_difference","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" photoperiod temp_diff flow chinook0_hatchery_perhour_interpolate",1,0,1,1,0,0,1,-2004.95983837686,4087.64293256767,38,118,TRUE,36.38,0,0,1
" photo_diff temp_diff",0,1,1,0,0,0,0,-2008.17619702814,4087.81495934938,35,85,TRUE,36.56,0,0,1
" photoperiod temp_diff flow_diff",1,0,1,0,1,0,0,-2007.24442381918,4088.03588596588,36,84,TRUE,36.78,0,0,1
" temp_diff flow_diff",0,0,1,0,1,0,0,-2008.40202901288,4088.26662331885,35,80,TRUE,37.01,0,0,1
" photo_diff temp_diff flow",0,1,1,1,0,0,0,-2007.40668610118,4088.36041052989,36,92,TRUE,37.1,0,0,1
" photoperiod temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",1,0,1,1,0,1,1,-2004.30024298971,4088.41549470542,39,119,TRUE,37.16,0,0,1
" photo_diff temp_diff lunar_phase",0,1,1,0,0,1,0,-2007.95241588511,4089.45187009775,36,95,TRUE,38.19,0,0,1
" photoperiod temp_diff lunar_phase flow_diff",1,0,1,0,1,1,0,-2006.99274991161,4089.61943358266,37,96,TRUE,38.36,0,0,1
" photo_diff photoperiod temp_diff",1,1,1,0,0,0,0,-2008.05874994652,4089.66453822056,36,93,TRUE,38.41,0,0,1
" temp_diff lunar_phase flow_diff",0,0,1,0,1,1,0,-2008.10521009521,4089.75745851795,36,80,TRUE,38.5,0,0,1
" photo_diff temp_diff flow lunar_phase",0,1,1,1,0,1,0,-2007.1463426059,4089.92661897124,37,102,TRUE,38.67,0,0,1
" photo_diff photoperiod temp_diff flow",1,1,1,1,0,0,0,-2007.37070316564,4090.37534009073,37,109,TRUE,39.12,0,0,1
" photo_diff photoperiod temp_diff lunar_phase",1,1,1,0,0,1,0,-2007.81651310053,4091.2669599605,37,111,TRUE,40.01,0,0,1
" photo_diff photoperiod temp_diff flow lunar_phase",1,1,1,1,0,1,0,-2007.10405458318,4091.93136498031,38,118,TRUE,40.67,0,0,1
" photoperiod temp_diff chinook0_hatchery_perhour_interpolate",1,0,1,0,0,0,1,-2008.34137089325,4092.31667554595,37,96,TRUE,41.06,0,0,1
" photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_interpolate",1,0,1,0,0,1,1,-2007.74396478547,4093.21118538488,38,116,TRUE,41.95,0,0,1
" temp_diff flow chinook0_hatchery_perhour_interpolate",0,0,1,1,0,0,1,-2011.95516373211,4099.54426122366,37,105,TRUE,48.28,0,0,1
" temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",0,0,1,1,0,1,1,-2011.33567340186,4100.39460261767,38,103,TRUE,49.14,0,0,1
" photoperiod temp_diff flow",1,0,1,1,0,0,0,-2016.08125399325,4105.70954631402,36,88,TRUE,54.45,0,0,1
