"","term","estimate","std.error","conf.low","conf.up"
"1","R.diag",0.680163357332055,0.0340317223047831,0.613462407282812,0.746864307381299
"2","Q.diag",0.0263916811978574,0.00518644111462844,0.0162264434052479,0.0365569189904669
"3","x0.X.2005_Day",0.0423992658674916,0.410235189177184,-0.761646930110765,0.846445461845748
"4","x0.X.2006_Day",-0.682591318976927,0.392225405591382,-1.45133898775765,0.086156349803797
"5","x0.X.2007_Day",-0.905461495604186,0.390663321734715,-1.67114753628501,-0.139775454923361
"6","x0.X.2008_Day",-0.448782824231586,0.389874517830859,-1.21292283766999,0.315357189206817
"7","x0.X.2009_Day",-0.735600806006923,0.426089706247011,-1.57072128443432,0.0995196724204684
"8","x0.X.2010_Day",-1.03262777041906,0.477112577703355,-1.9677512392887,-0.0975043015494123
"9","x0.X.2011_Day",-0.758887342180389,0.391111813971629,-1.52545241149291,0.00767772713213277
"10","x0.X.2012_Day",-0.479038523202679,0.389802698131871,-1.24303777261768,0.284960726212326
"11","x0.X.2013_Day",-0.374961751327093,0.393031608094488,-1.14528954797815,0.395366045323964
"12","x0.X.2014_Day",-0.741562343014978,0.393683705880473,-1.51316822784096,0.0300435418110081
"13","x0.X.2016_Day",-0.509121662743104,0.777581986563473,-2.03315435143462,1.01491102594841
"14","x0.X.2017_Day",-0.955350517312862,0.399469890584104,-1.73829711576586,-0.172403918859863
"15","x0.X.2018_Day",-0.254790617186325,0.428154016667974,-1.09395706969171,0.584375835319065
"16","x0.X.2019_Day",-1.05506261167056,0.42487255821031,-1.88779752378217,-0.222327699558956
"17","x0.X.2020_Day",-0.688859536061246,0.390254032166894,-1.45374338392989,0.076024311807402
"18","x0.X.2005_Night",-0.0534021847501144,0.415834178166047,-0.868422197496379,0.76161782799615
"19","x0.X.2006_Night",0.249174259992843,0.392400949996497,-0.519917469499593,1.01826598948528
"20","x0.X.2007_Night",-1.27444732416362,0.389894875401129,-2.03862723770657,-0.510267410620676
"21","x0.X.2008_Night",-1.04280033025821,0.389473408023625,-1.80615418292059,-0.279446477595835
"22","x0.X.2009_Night",-0.566166454444017,0.391376520914592,-1.3332503398312,0.20091743094317
"23","x0.X.2010_Night",-1.16718952189595,0.401917673495159,-1.95493368669659,-0.379445357095311
"24","x0.X.2011_Night",-1.40274240248459,0.39091619950837,-2.16892407449427,-0.636560730474909
"25","x0.X.2012_Night",-0.61943216596337,0.390112098204043,-1.38403782837665,0.145173496449906
"26","x0.X.2013_Night",-0.754266684154117,0.396769454154603,-1.53192052446276,0.0233871561545214
"27","x0.X.2014_Night",-1.0530939481567,0.392588778088682,-1.82255381394511,-0.283634082368299
"28","x0.X.2016_Night",-0.432134912376979,0.406827277603251,-1.22950172440783,0.365231899653872
"29","x0.X.2017_Night",-0.652782634079404,0.398316594188394,-1.43346881313331,0.127903544974505
"30","x0.X.2018_Night",-1.231060552049,0.39156247770661,-1.99850890605122,-0.463612198046775
"31","x0.X.2019_Night",-1.42944651604023,0.393721729607275,-2.2011269260013,-0.657766106079151
"32","x0.X.2020_Night",-0.674717786202515,0.390342815859676,-1.43977564691143,0.0903400745064007
"33","C.a",-0.0432772068484633,0.008761529133773,-0.0604494884001568,-0.0261049252967698
"34","C.b",-0.0433699259690671,0.0264309361740197,-0.0951736089478225,0.00843375700968831
"35","C.c",-0.0340546924517959,0.0109186157715221,-0.0554547861250103,-0.0126545987785815
"36","C.d",0.0817729494058555,0.0206589507694771,0.0412821499392943,0.122263748872417
