"","c","d","logLik","AICc","num.param","num.iter","converged","deltaAICc","delta_aicc"
"function36"," temp_diff flow_diff coho1_hatchery_perhour_interpolate","None",-1352.06716287411,2778.88355175441,36,89,TRUE,41.8327752871637,41.8327752871637
"function40"," lunar_phase flow_diff coho1_hatchery_perhour_interpolate","None",-1352.15261241062,2779.05445082744,36,100,TRUE,42.0036743601931,42.0036743601931
"function33"," temp_diff flow coho1_hatchery_perhour_interpolate","None",-1352.41558523468,2779.58039647555,36,95,TRUE,42.5296200083021,42.5296200083021
"function17"," flow coho1_hatchery_perhour_interpolate","None",-1353.50259577347,2779.60312969126,35,90,TRUE,42.5523532240177,42.5523532240177
"function13"," temp_diff flow_diff","None",-1354.86727204386,2780.18562544715,34,81,TRUE,43.1348489799061,43.1348489799061
"function31"," temp_diff flow lunar_phase","None",-1353.89302106854,2780.3839802814,35,87,TRUE,43.3332038141571,43.3332038141571
"function18"," lunar_phase flow_diff","None",-1355.02984471196,2780.51077078334,34,85,TRUE,43.4599943160924,43.4599943160924
"function15"," flow lunar_phase","None",-1355.13723093317,2780.72554322576,34,82,TRUE,43.6747667585182,43.6747667585182
"function54"," temp_diff lunar_phase flow_diff coho1_hatchery_perhour_interpolate","None",-1352.06358512128,2781.03212892024,37,102,TRUE,43.9813524529973,43.9813524529973
"function52"," temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate","None",-1352.28636035959,2781.47767939687,37,103,TRUE,44.4269029296224,44.4269029296224
"function38"," flow lunar_phase coho1_hatchery_perhour_interpolate","None",-1353.3876245584,2781.524475123,36,104,TRUE,44.4736986557514,44.4736986557514
"function34"," temp_diff lunar_phase flow_diff","None",-1354.85961698199,2782.31717210831,35,92,TRUE,45.2663956410615,45.2663956410615
"function5"," coho1_hatchery_perhour_interpolate","None",-1360.83477782513,2792.12063700969,34,92,TRUE,55.0698605424413,55.0698605424413
"function14"," temp_diff coho1_hatchery_perhour_interpolate","None",-1360.79455433334,2794.18704681102,35,80,TRUE,57.136270343774,57.136270343774
"function19"," lunar_phase coho1_hatchery_perhour_interpolate","None",-1360.80742582507,2794.21278979446,35,77,TRUE,57.1620133272199,57.1620133272199
"function1"," temp_diff","None",-1363.29103284259,2794.8907076605,33,87,TRUE,57.8399311932531,57.8399311932531
"function3"," lunar_phase","None",-1363.37579154677,2795.06022506885,33,72,TRUE,58.0094486016096,58.0094486016096
"function35"," temp_diff lunar_phase coho1_hatchery_perhour_interpolate","None",-1360.76711878638,2796.28346357894,36,96,TRUE,59.2326871117007,59.2326871117007
"function12"," temp_diff lunar_phase","None",-1363.27249393984,2796.9960692391,34,91,TRUE,59.9452927718594,59.9452927718594
