"","c","d","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"function64"," photo_diff lunar_phase chinook0_hatchery_perhour_interpolate","None",-1105.02355340508,2250.90776254786,20,62,TRUE,44.1349317558447
"function57"," atu_april flow chinook0_hatchery_perhour_interpolate","None",-1105.38097417055,2251.62260407881,20,64,TRUE,44.8497732867995
"function26"," atu_april chinook0_hatchery_perhour_interpolate","None",-1106.61212564298,2252.00214279058,19,57,TRUE,45.2293119985625
"function16"," atu_april flow","None",-1106.87858427294,2252.53506005049,19,66,TRUE,45.7622292584747
"function86"," atu_april flow lunar_phase chinook0_hatchery_perhour_interpolate","None",-1105.02292497948,2252.99354226664,21,83,TRUE,46.2207114746298
"function15"," photoperiod flow","None",-1107.15954187251,2253.09697524963,19,61,TRUE,46.3241444576129
"function62"," atu_april lunar_phase chinook0_hatchery_perhour_interpolate","None",-1106.27170719893,2253.40407013557,20,56,TRUE,46.6312393435528
"function52"," atu_april flow lunar_phase","None",-1106.65261289295,2254.16588152361,20,71,TRUE,47.3930507316013
"function2"," atu_april","None",-1108.78877450232,2254.27693550772,18,51,TRUE,47.5041047157042
"function51"," photoperiod flow lunar_phase","None",-1106.97294790742,2254.80655155255,20,65,TRUE,48.0337207605398
"function25"," photoperiod chinook0_hatchery_perhour_interpolate","None",-1108.10298688278,2254.98386527016,19,68,TRUE,48.2110344781454
"function14"," temp flow","None",-1108.42435559722,2255.62660269905,19,55,TRUE,48.8537719070378
"function55"," temp flow chinook0_hatchery_perhour_interpolate","None",-1107.40537852607,2255.67141278985,20,78,TRUE,48.8985819978352
"function21"," atu_april lunar_phase","None",-1108.60556155716,2255.98901461893,19,69,TRUE,49.2161838269185
"function61"," photoperiod lunar_phase chinook0_hatchery_perhour_interpolate","None",-1107.76325008116,2256.38715590003,20,63,TRUE,49.6143251080189
"function84"," temp flow lunar_phase chinook0_hatchery_perhour_interpolate","None",-1107.1924156747,2257.33252365709,21,81,TRUE,50.5596928650807
"function50"," temp flow lunar_phase","None",-1108.29403556848,2257.44872687467,20,74,TRUE,50.6758960826592
"function17"," resid flow","None",-1109.44582078508,2257.66953307476,19,67,TRUE,50.8967022827505
"function24"," temp chinook0_hatchery_perhour_interpolate","None",-1109.6982936928,2258.17447889021,19,63,TRUE,51.4016480981936
"function58"," resid flow chinook0_hatchery_perhour_interpolate","None",-1109.20187154038,2259.26439881847,20,79,TRUE,52.4915680264539
"function"," temp","None",-1111.28419529769,2259.26777709844,18,52,TRUE,52.4949463064281
"function53"," resid flow lunar_phase","None",-1109.23929959193,2259.33925492157,20,68,TRUE,52.5664241295522
"function6"," flow","None",-1111.39102150261,2259.48142950829,18,53,TRUE,52.708598716275
"function33"," flow chinook0_hatchery_perhour_interpolate","None",-1110.37689337944,2259.53167826349,19,67,TRUE,52.7588474714803
"function60"," temp lunar_phase chinook0_hatchery_perhour_interpolate","None",-1109.55127102221,2259.96319778213,20,74,TRUE,53.1903669901144
"function87"," resid flow lunar_phase chinook0_hatchery_perhour_interpolate","None",-1108.9363626878,2260.8204176833,21,82,TRUE,54.0475868912881
"function68"," flow lunar_phase chinook0_hatchery_perhour_interpolate","None",-1110.02974098139,2260.92013770048,20,71,TRUE,54.147306908465
"function32"," flow lunar_phase","None",-1111.15163581014,2261.08116312488,19,57,TRUE,54.3083323328642
"function19"," temp lunar_phase","None",-1111.22281923455,2261.22352997371,19,60,TRUE,54.4506991817007
"function3"," resid","None",-1113.18531124687,2263.0700089968,18,49,TRUE,56.2971782047871
"function27"," resid chinook0_hatchery_perhour_interpolate","None",-1112.95469425361,2264.68728001182,19,63,TRUE,57.9144492198084
"function22"," resid lunar_phase","None",-1113.04855872557,2264.87500895575,19,57,TRUE,58.1021781637337
"function1"," photoperiod","None",-1114.10411930702,2264.9076251171,18,52,TRUE,58.1347943250908
"function63"," resid lunar_phase chinook0_hatchery_perhour_interpolate","None",-1112.77168150758,2266.40401875287,20,70,TRUE,59.6311879608588
"function20"," photoperiod lunar_phase","None",-1113.99532447649,2266.76854045758,19,58,TRUE,59.9957096655685
"function8"," chinook0_hatchery_perhour_interpolate","None",-1116.9733188584,2270.64602421987,18,45,TRUE,63.8731934278585
"function34"," lunar_phase chinook0_hatchery_perhour_interpolate","None",-1116.68660638618,2272.15110427696,19,52,TRUE,65.378273484951
"function7"," lunar_phase","None",-1118.97963548174,2274.65865746654,18,55,TRUE,67.8858266745247
