"c","photoperiod","photo_difference","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","delta_aicc","deltaAICc","rel.LL","weights","cumulative_weights"
" photoperiod temp_diff flow",1,0,1,1,0,0,0,-1338.87605665571,2750.35005145575,35,115,TRUE,13.3,13.2992749885102,0,0,1
" photoperiod",1,0,0,0,0,0,0,-1341.29383597189,2750.89631391909,33,93,TRUE,13.85,13.8455374518448,0,0,1
" photoperiod flow lunar_phase",1,0,0,1,0,1,0,-1339.16808759783,2750.93411333999,35,111,TRUE,13.88,13.8833368727414,0,0,1
" photoperiod temp_diff flow coho1_hatchery_perhour_interpolate",1,0,1,1,0,0,1,-1337.02345579579,2750.95187026926,37,100,TRUE,13.9,13.9010938020151,0,0,1
" photoperiod coho1_hatchery_perhour_interpolate",1,0,0,0,0,0,1,-1339.24308693105,2751.08411200643,35,113,TRUE,14.03,14.0333355391822,0,0,1
" photoperiod photo_diff flow",1,1,0,1,0,0,0,-1339.25378817549,2751.10551449532,35,92,TRUE,14.05,14.0547380280718,0,0,1
" photoperiod photo_diff flow coho1_hatchery_perhour_interpolate",1,1,0,1,0,0,1,-1337.19846091341,2751.3018805045,37,130,TRUE,14.25,14.2511040372538,0,0,1
" photoperiod flow lunar_phase coho1_hatchery_perhour_interpolate",1,0,0,1,0,1,1,-1337.25482277447,2751.41460422663,37,128,TRUE,14.36,14.3638277593891,0,0,1
" photoperiod photo_diff temp_diff flow",1,1,1,1,0,0,0,-1338.44447560917,2751.63817722452,36,112,TRUE,14.59,14.5874007572802,0,0,1
" photoperiod photo_diff temp_diff flow coho1_hatchery_perhour_interpolate",1,1,1,1,0,0,1,-1336.48343338441,2752.03201671711,38,113,TRUE,14.98,14.9812402498624,0,0,1
" photoperiod temp_diff flow lunar_phase",1,0,1,1,0,1,0,-1338.64339058397,2752.03600717413,36,105,TRUE,14.99,14.9852307068877,0,0,1
" photoperiod photo_diff coho1_hatchery_perhour_interpolate",1,1,0,0,0,0,1,-1338.86231134917,2752.47384870454,36,161,TRUE,15.42,15.4230722372931,0,0,1
