,c,d,logLik,AICc,num.param,num.iter,converged,deltaAICc,rel.LL,weights
function24,"Flow,  Lunar phase, Temperature difference,  Hatchery",None,-1084.476256,2241.574781,35,123,TRUE,33.04801023,6.66E-08,3.47E-08
function,"Temperature difference,   Hatchery",None,-1087.032331,2242.394879,33,120,TRUE,33.86810805,4.42E-08,2.30E-08
function211,"Lunar phase,  Temperature difference,   Hatchery",None,-1086.70814,2243.890292,34,132,TRUE,35.36352048,2.09E-08,1.09E-08
function96,"Photoperiod difference, Flow ",None,-1104.574177,2247.926245,19,61,TRUE,39.39947338,2.78E-09,1.45E-09
function9,Photoperiod difference ,None,-1106.043522,2248.786431,18,60,TRUE,40.2596599,1.81E-09,9.43E-10
function14,"Photoperiod difference, Flow, Lunar phase",None,-1104.349775,2249.560205,20,77,TRUE,41.03343362,1.23E-09,6.40E-10
function95,"Photoperiod difference,  Lunar phase ",None,-1105.85617,2250.490232,19,67,TRUE,41.9634609,7.72E-10,4.02E-10
function76,"ATU, Flow ",None,-1106.878584,2252.53506,19,66,TRUE,44.00828893,2.78E-10,1.45E-10
function66,"Photoperiod, Flow ",None,-1107.159542,2253.096975,19,61,TRUE,44.57020412,2.10E-10,1.09E-10
function12,"ATU, Flow, Lunar phase",None,-1106.652613,2254.165882,20,71,TRUE,45.6391104,1.23E-10,6.40E-11
function77,ATU ,None,-1108.788775,2254.276936,18,51,TRUE,45.75016438,1.16E-10,6.06E-11
function11,"Photoperiod, Flow, Lunar phase",None,-1106.972948,2254.806552,20,65,TRUE,46.27978043,8.92E-11,4.65E-11
function56,"Temperature, Flow ",None,-1108.424356,2255.626603,19,55,TRUE,47.09983157,5.92E-11,3.08E-11
function75,"ATU,  Lunar phase ",None,-1108.605562,2255.989015,19,69,TRUE,47.46224349,4.94E-11,2.57E-11
function10,"Temperature, Flow, Lunar phase",None,-1108.294036,2257.448727,20,74,TRUE,48.92195575,2.38E-11,1.24E-11
function86,"Temperature residuals, Flow ",None,-1109.445821,2257.669533,19,67,TRUE,49.14276195,2.13E-11,1.11E-11
function57,Temperature ,None,-1111.284195,2259.267777,18,52,TRUE,50.74100597,9.59E-12,4.99E-12
function13,"Temperature residuals, Flow, Lunar phase",None,-1109.2393,2259.339255,20,68,TRUE,50.8124838,9.25E-12,4.82E-12
function5,Flow,None,-1111.391022,2259.48143,18,53,TRUE,50.95465838,8.62E-12,4.49E-12
function115,"Flow,  Lunar phase",None,-1111.151636,2261.081163,19,57,TRUE,52.554392,3.87E-12,2.02E-12
function55,"Temperature,  Lunar phase ",None,-1111.222819,2261.22353,19,60,TRUE,52.69675885,3.61E-12,1.88E-12
function8,Temperature residuals ,None,-1113.185311,2263.070009,18,49,TRUE,54.54323787,1.43E-12,7.46E-13
function117,"Photoperiod, Flow,   Hatchery",None,-1096.663546,2263.801105,34,133,TRUE,55.27433406,9.94E-13,5.18E-13
function85,"Temperature residuals,  Lunar phase ",None,-1113.048559,2264.875009,19,57,TRUE,56.34823783,5.81E-13,3.03E-13
function67,Photoperiod ,None,-1114.104119,2264.907625,18,52,TRUE,56.38085399,5.72E-13,2.98E-13
function61,"Photoperiod, Flow, Lunar phase,  Hatchery",None,-1096.194272,2265.010813,35,140,TRUE,56.4840423,5.43E-13,2.83E-13
function47,"Photoperiod difference, Flow,   Hatchery",None,-1097.311167,2265.096346,34,135,TRUE,56.56957462,5.20E-13,2.71E-13
function48,"Photoperiod difference,   Hatchery",None,-1098.593611,2265.517439,33,116,TRUE,56.99066813,4.21E-13,2.19E-13
function91,"Photoperiod difference, Flow, Lunar phase,  Hatchery",None,-1096.955346,2266.532961,35,140,TRUE,58.00618967,2.54E-13,1.32E-13
function65,"Photoperiod,  Lunar phase ",None,-1113.995324,2266.76854,19,58,TRUE,58.24176933,2.25E-13,1.17E-13
function46,"Photoperiod difference,  Lunar phase,   Hatchery",None,-1098.287094,2267.0482,34,128,TRUE,58.52142846,1.96E-13,1.02E-13
