"","c","d","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"function65"," temp_diff flow lunar_phase","None",-725.7146806325,1492.99069955496,20,95,TRUE,30.6201418613855
"function39"," photo_diff temp_diff flow","None",-725.785199943786,1493.13173817753,20,78,TRUE,30.7611804839578
"function54"," photo_diff flow lunar_phase","None",-725.844376510556,1493.25009131107,20,88,TRUE,30.8795336174981
"function53"," resid flow lunar_phase","None",-726.012770365813,1493.58687902159,20,81,TRUE,31.2163213280112
"function68"," flow lunar_phase coho1_hatchery_perhour_interpolate","None",-726.088896842924,1493.73913197581,20,80,TRUE,31.3685742822338
"function38"," resid temp_diff flow","None",-726.120108511265,1493.80155531249,20,109,TRUE,31.430997618917
"function59"," photo_diff flow coho1_hatchery_perhour_interpolate","None",-726.192957624453,1493.94725353887,20,80,TRUE,31.5766958452928
"function66"," temp_diff flow coho1_hatchery_perhour_interpolate","None",-726.229258960664,1494.01985621129,20,84,TRUE,31.649298517714
"function73"," photo_diff temp_diff flow lunar_phase","None",-725.242650777964,1494.20597194699,21,104,TRUE,31.8354142534122
"function58"," resid flow coho1_hatchery_perhour_interpolate","None",-726.479277513803,1494.51989331757,20,108,TRUE,32.1493356239923
"function72"," resid temp_diff flow lunar_phase","None",-725.567103111884,1494.85487661483,21,99,TRUE,32.4843189212518
"function78"," photo_diff temp_diff flow coho1_hatchery_perhour_interpolate","None",-725.607440243176,1494.93555087741,21,95,TRUE,32.5649931838373
"function88"," photo_diff flow lunar_phase coho1_hatchery_perhour_interpolate","None",-725.639981648651,1495.00063368836,21,82,TRUE,32.6300759947862
"function89"," temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate","None",-725.714299958179,1495.14927030742,21,80,TRUE,32.7787126138421
"function87"," resid flow lunar_phase coho1_hatchery_perhour_interpolate","None",-725.911919734674,1495.54450986041,21,85,TRUE,33.173952166833
"function77"," resid temp_diff flow coho1_hatchery_perhour_interpolate","None",-726.074812912894,1495.87029621685,21,87,TRUE,33.4997385232723
"function94"," photo_diff temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate","None",-725.035831454497,1495.95972261049,22,92,TRUE,33.5891649169091
"function93"," resid temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate","None",-725.49545300579,1496.87896571307,22,91,TRUE,34.5084080194954
"function8"," coho1_hatchery_perhour_interpolate","None",-734.602671327409,1506.47200932149,18,56,TRUE,44.1014516279083
"function7"," lunar_phase","None",-734.730531379442,1506.72772942555,18,68,TRUE,44.3571717319739
"function4"," photo_diff","None",-734.781658888513,1506.82998444369,18,52,TRUE,44.4594267501157
"function5"," temp_diff","None",-734.792090949916,1506.8508485665,18,56,TRUE,44.4802908729218
"function3"," resid","None",-734.944524206537,1507.15571507974,18,68,TRUE,44.7851573861635
"function28"," photo_diff coho1_hatchery_perhour_interpolate","None",-733.911863685744,1507.23374592436,19,74,TRUE,44.863188230788
"function34"," lunar_phase coho1_hatchery_perhour_interpolate","None",-734.36015275131,1508.1303240555,19,64,TRUE,45.7597663619199
"function27"," resid coho1_hatchery_perhour_interpolate","None",-734.401184853885,1508.21238826065,19,68,TRUE,45.8418305670693
"function31"," temp_diff coho1_hatchery_perhour_interpolate","None",-734.419521580722,1508.24906171432,19,62,TRUE,45.8785040207429
"function23"," photo_diff lunar_phase","None",-734.553958843843,1508.51793624056,19,62,TRUE,46.1473785469857
"function30"," temp_diff lunar_phase","None",-734.563602171643,1508.53722289616,19,76,TRUE,46.1666652025854
