"","c","atu","photoperiod","flow","lunar_phase","flow_difference","temp_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"gradient8"," atu_day photoperiod_day",1,1,0,0,0,0,0,-2351.1,4777.72,37,70,TRUE,271.6,0,0,1
"gradient12"," atu_day coho1_hatchery_perhour_day",1,0,0,0,0,0,1,-2350.1,4777.82,38,48,TRUE,271.69,0,0,1
"gradient33"," atu_day photoperiod_day lunar_phase_day",1,1,0,1,0,0,0,-2350.41,4778.43,38,50,TRUE,272.3,0,0,1
"gradient28"," atu_day flow_day photoperiod_day",1,1,1,0,0,0,0,-2350.42,4778.46,38,59,TRUE,272.33,0,0,1
"gradient39"," atu_day lunar_phase_day coho1_hatchery_perhour_day",1,0,0,1,0,0,1,-2349.41,4778.53,39,45,TRUE,272.4,0,0,1
"gradient63"," atu_day flow_day photoperiod_day lunar_phase_day",1,1,1,1,0,0,0,-2349.73,4779.15,39,60,TRUE,273.02,0,0,1
"gradient88"," flow_day photoperiod_day temp_diff_day coho1_hatchery_perhour_day",0,1,1,0,0,1,1,-2348.97,4779.72,40,42,TRUE,273.59,0,0,1
"gradient115"," flow_day photoperiod_day lunar_phase_day temp_diff_day coho1_hatchery_perhour_day",0,1,1,1,0,1,1,-2348.28,4780.44,41,44,TRUE,274.31,0,0,1
"gradient46"," flow_day photoperiod_day coho1_hatchery_perhour_day",0,1,1,0,0,0,1,-2350.91,4781.51,39,43,TRUE,275.38,0,0,1
"gradient85"," flow_day photoperiod_day lunar_phase_day coho1_hatchery_perhour_day",0,1,1,1,0,0,1,-2350.19,4782.18,40,50,TRUE,276.05,0,0,1
"gradient58"," photoperiod_day temp_diff_day coho1_hatchery_perhour_day",0,1,0,0,0,1,1,-2352.7,4785.1,39,43,TRUE,278.97,0,0,1
"gradient21"," photoperiod_day coho1_hatchery_perhour_day",0,1,0,0,0,0,1,-2354.06,4785.74,38,40,TRUE,279.61,0,0,1
"gradient95"," photoperiod_day lunar_phase_day temp_diff_day coho1_hatchery_perhour_day",0,1,0,1,0,1,1,-2352.05,4785.88,40,45,TRUE,279.75,0,0,1
"gradient52"," flow_day temp_diff_day coho1_hatchery_perhour_day",0,0,1,0,0,1,1,-2353.19,4786.07,39,40,TRUE,279.94,0,0,1
"gradient55"," photoperiod_day lunar_phase_day coho1_hatchery_perhour_day",0,1,0,1,0,0,1,-2353.39,4786.47,39,45,TRUE,280.34,0,0,1
"gradient91"," flow_day lunar_phase_day temp_diff_day coho1_hatchery_perhour_day",0,0,1,1,0,1,1,-2352.45,4786.69,40,51,TRUE,280.56,0,0,1
"gradient17"," flow_day coho1_hatchery_perhour_day",0,0,1,0,0,0,1,-2355.37,4788.35,38,46,TRUE,282.22,0,0,1
"gradient49"," flow_day lunar_phase_day coho1_hatchery_perhour_day",0,0,1,1,0,0,1,-2354.6,4788.9,39,45,TRUE,282.77,0,0,1
"gradient31"," atu_day flow_day temp_diff_day",1,0,1,0,0,1,0,-2356.38,4790.37,38,51,TRUE,284.24,0,0,1
"gradient11"," atu_day temp_diff_day",1,0,0,0,0,1,0,-2357.64,4790.81,37,42,TRUE,284.68,0,0,1
"gradient68"," atu_day flow_day lunar_phase_day temp_diff_day",1,0,1,1,0,1,0,-2355.82,4791.34,39,48,TRUE,285.21,0,0,1
"gradient38"," atu_day lunar_phase_day temp_diff_day",1,0,0,1,0,1,0,-2357.08,4791.78,38,44,TRUE,285.65,0,0,1
"gradient"," atu_day",1,0,0,0,0,0,0,-2359.56,4792.56,36,50,TRUE,286.43,0,0,1
"gradient7"," atu_day flow_day",1,0,1,0,0,0,0,-2358.66,4792.86,37,42,TRUE,286.73,0,0,1
"gradient9"," atu_day lunar_phase_day",1,0,0,1,0,0,0,-2358.98,4793.49,37,40,TRUE,287.36,0,0,1
"gradient29"," atu_day flow_day lunar_phase_day",1,0,1,1,0,0,0,-2358.08,4793.78,38,43,TRUE,287.65,0,0,1
"gradient27"," temp_diff_day coho1_hatchery_perhour_day",0,0,0,0,0,1,1,-2358.26,4794.13,38,40,TRUE,288.01,0,0,1
"gradient61"," lunar_phase_day temp_diff_day coho1_hatchery_perhour_day",0,0,0,1,0,1,1,-2357.56,4794.83,39,40,TRUE,288.7,0,0,1
"gradient6"," coho1_hatchery_perhour_day",0,0,0,0,0,0,1,-2359.73,4795,37,45,TRUE,288.87,0,0,1
"gradient24"," lunar_phase_day coho1_hatchery_perhour_day",0,0,0,1,0,0,1,-2359.01,4795.64,38,38,TRUE,289.51,0,0,1
"gradient45"," flow_day photoperiod_day temp_diff_day",0,1,1,0,0,1,0,-2361.43,4800.48,38,42,TRUE,294.35,0,0,1
"gradient84"," flow_day photoperiod_day lunar_phase_day temp_diff_day",0,1,1,1,0,1,0,-2360.9,4801.5,39,45,TRUE,295.37,0,0,1
"gradient20"," photoperiod_day temp_diff_day",0,1,0,0,0,1,0,-2362.99,4801.51,37,44,TRUE,295.38,0,0,1
"gradient54"," photoperiod_day lunar_phase_day temp_diff_day",0,1,0,1,0,1,0,-2362.46,4802.54,38,37,TRUE,296.41,0,0,1
"gradient13"," flow_day photoperiod_day",0,1,1,0,0,0,0,-2363.61,4802.76,37,42,TRUE,296.63,0,0,1
"gradient2"," photoperiod_day",0,1,0,0,0,0,0,-2364.75,4802.96,36,29,TRUE,296.83,0,0,1
"gradient43"," flow_day photoperiod_day lunar_phase_day",0,1,1,1,0,0,0,-2363.06,4803.73,38,38,TRUE,297.6,0,0,1
"gradient18"," photoperiod_day lunar_phase_day",0,1,0,1,0,0,0,-2364.21,4803.94,37,35,TRUE,297.81,0,0,1
"gradient16"," flow_day temp_diff_day",0,0,1,0,0,1,0,-2370.9,4817.34,37,38,TRUE,311.21,0,0,1
"gradient48"," flow_day lunar_phase_day temp_diff_day",0,0,1,1,0,1,0,-2370.35,4818.32,38,39,TRUE,312.19,0,0,1
"gradient5"," temp_diff_day",0,0,0,0,0,1,0,-2373.32,4820.1,36,34,TRUE,313.97,0,0,1
"gradient1"," flow_day",0,0,1,0,0,0,0,-2373.5,4820.44,36,33,TRUE,314.31,0,0,1
"gradient23"," lunar_phase_day temp_diff_day",0,0,0,1,0,1,0,-2372.78,4821.1,37,43,TRUE,314.97,0,0,1
"gradient14"," flow_day lunar_phase_day",0,0,1,1,0,0,0,-2372.92,4821.36,37,38,TRUE,315.24,0,0,1
"gradient127","No covariates",0,0,0,0,0,0,0,-2375.34,4822.05,35,34,TRUE,315.92,0,0,1
"gradient3"," lunar_phase_day",0,0,0,1,0,0,0,-2374.78,4823,36,39,TRUE,316.87,0,0,1
