"","c","d","logLik","AICc","num.param","num.iter","converged","delta_AICc"
"gradient4","photo_diff","None",-2745.78928118758,5571.17938330897,39,37,TRUE,0
"gradient3","atu","None",-2746.42126002103,5572.44334097587,39,37,TRUE,1.26395766690166
"gradient5","resid","None",-2749.17026426636,5577.94134946654,39,32,TRUE,6.76196615756544
"gradient2","temp","None",-2749.95282875294,5579.50647843969,39,48,TRUE,8.3270951307195
"gradient","secchi_depth","None",-2750.96856269074,5581.53794631529,39,37,TRUE,10.3585630063217
"gradient1","photoperiod","None",-2751.90082234909,5583.40246563199,39,35,TRUE,12.2230823230193
