"","c","d","logLik","AICc","num.param","num.iter","converged","delta_AICc"
"gradient3","atu","None",-2367.35598161243,4806.08227317592,35,30,TRUE,0
"gradient1","photoperiod","None",-2371.81681297255,4815.00393589616,35,29,TRUE,8.9216627202386
"gradient4","photo_diff","None",-2375.02742918168,4821.42516831442,35,36,TRUE,15.3428951385022
"gradient","secchi_depth","None",-2378.32628673627,4828.02288342361,35,35,TRUE,21.9406102476896
"gradient2","temp","None",-2379.35931518405,4830.08894031916,35,28,TRUE,24.0066671432405
"gradient5","resid","None",-2379.59741387983,4830.56513771071,35,28,TRUE,24.4828645347916
