"","c","photoperiod_difference","photoperiod","temperature_difference","flow","lunar_phase","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"gradient110"," photo_diff_day photoperiod_day lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,0,1,0,1,-1673,3407.58,30,86,TRUE,166.43,0,0,1
"gradient121"," photo_diff_day flow_day_inp photoperiod_day lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,1,1,1,1,0,1,-1671.96,3407.61,31,93,TRUE,166.45,0,0,1
"gradient12"," photo_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,0,0,0,1,-1676.85,3408.98,27,80,TRUE,167.83,0,0,1
"gradient75"," photo_diff_day photoperiod_day lunar_phase_day chinook0_hatchery_perhour_day_inp",1,1,0,0,1,0,1,-1674.81,3409.09,29,88,TRUE,167.93,0,0,1
"gradient100"," photo_diff_day flow_day_inp photoperiod_day lunar_phase_day chinook0_hatchery_perhour_day_inp",1,1,0,1,1,0,1,-1673.81,3409.19,30,91,TRUE,168.03,0,0,1
"gradient7"," photo_diff_day flow_day_inp",1,0,0,1,0,0,0,-1678,3409.2,26,68,TRUE,168.04,0,0,1
"gradient11"," photo_diff_day temp_diff_day",1,0,1,0,0,0,0,-1678.04,3409.27,26,69,TRUE,168.11,0,0,1
"gradient9"," photo_diff_day lunar_phase_day",1,0,0,0,1,0,0,-1678.06,3409.31,26,67,TRUE,168.16,0,0,1
"gradient42"," photo_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,0,0,0,1,-1676.32,3410.02,28,84,TRUE,168.86,0,0,1
"gradient32"," photo_diff_day flow_day_inp chinook0_hatchery_perhour_day_inp",1,0,0,1,0,0,1,-1676.39,3410.16,28,88,TRUE,169,0,0,1
"gradient39"," photo_diff_day lunar_phase_day chinook0_hatchery_perhour_day_inp",1,0,0,0,1,0,1,-1676.85,3411.08,28,83,TRUE,169.92,0,0,1
