"","c","d","logLik","AICc","num.param","num.iter","converged","delta_AICc"
"gradient3","atu","None",-2688.63645351104,5458.85744808488,40,40,TRUE,0
"gradient1","photoperiod","None",-2694.89025821834,5471.36505749947,40,40,TRUE,12.5076094145979
"gradient4","photo_diff","None",-2701.42550781655,5484.43555669589,40,52,TRUE,25.5781086110183
"gradient","secchi_depth","None",-2704.22592149993,5490.03638406266,40,41,TRUE,31.1789359777804
"gradient2","temp","None",-2706.88976492698,5495.36407091677,40,37,TRUE,36.5066228318892
"gradient5","resid","None",-2706.91173478818,5495.40801063916,40,55,TRUE,36.550562554281
